NGC189,00h39m36,+61°04'00,CASSIOPEIA,Open Cluster,8.8,4',3500 ly Dist.
NGC225,00h43m42,+61°47'00,CASSIOPEIA,Open Cluster,7.0,12',2143 ly Dist.
NGC281,00h52m59,+56°37'19,CASSIOPEIA,Emission Nebula,7.8,35'-30',Pacman Nebula
NGC288,00h52m45,-26°34'57,SCULPTOR,Globular Cluster,9.4,14',28.7 kly Dist.
NGC404,01h09m27,+35°43'04,ANDROMEDA,Field Galaxy,11.2,4'x4',Mirach's Ghost
NGC584,01h31m21,-06°52'05,CETUS,Elliptical Galaxy,10.5,3'x2',62.3 Mly Dist.
NGC659,01h44m04,+60°40'00,CASSIOPEIA,Open Cluster,7.9,6',8.2 kly Dist.
NGC772,01h59m20,+19°00'27,ARIES,Spiral Galaxy,11.1,7'x4',130 Mly Dist.
NGC908,02h23m05,-21°14'02,CETUS,Spiral Galaxy,10.4,6'x3',56 Mly Dist.
NGC1023,02h40m24,+39°03'48,PERSEUS,Lenticular Galaxy,10.4,9'x3',19 Mly Dist.
NGC1232,03h09m46,-20°34'46,ERIDANUS,Spiral Galaxy,10.9,7'x7',Eye of God
NGC1291,03h15m30,-41°17'26,ERIDANUS,Ring Galaxy,9.4,10'x8',Snow Collar Galaxy
NGC1316,03h22m42,-37°12'30,FORNAX,Lenticular Galaxy,9.4,12'x9',Fornax A
MEL20,03h26m54,+49°07'00,PERSEUS,Open Cluster,1.2,185',Alpha Persei Cluster
NGC1333,03h29m02,+31°20'54,PERSEUS,Reflection Nebula,5.6,6'x3',Embryo Nebula
NGC1360,03h33m15,-25°52'18,FORNAX,Planetary Nebula,9.4,11'x8',Robin's Egg Nebula
NGC1365,03h33m36,-36°08'25,FORNAX,Spiral Galaxy,10.3,11'x6',Great Barred Spiral
NGC1399,03h38m30,-35°27'00,FORNAX,Elliptical Galaxy,9.9,3'x3',65 Mly Dist.
NGC1398,03h38m52,-26°20'16,FORNAX,Spiral Galaxy,10.6,7'x5',65 Mly Dist.
NGC1404,03h38m54,-35°35'00,FORNAX,Elliptical Galaxy,10.3,3'x2',65 Mly Dist.
KEM1,03h57m24,+63°04'00,CAMELOPARDALIS,Asterism,6.9,180',Kemble's Cascade
NGC1501,04h06m59,+60°55'14,CAMELOPARDALIS,Planetary Nebula,13.0,1',Oyster Nebula
NGC1502,04h07m30,+62°19'54,CAMELOPARDALIS,Open Cluster,6.9,20',The Jolly Roger
NGC1535,04h14m16,-12°44'22,ERIDANUS,Planetary Nebula,10.5,1',Cleopatra's Eye
NGC1528,04h15m23,+51°12'54,PERSEUS,Open Cluster,6.4,23',2530 ly Dist.
NGC1545,04h20m50,+50°15'12,PERSEUS,Open Cluster,6.4,23',2320 ly Dist.
NGC1647,04h45m55,+19°06'54,TAURUS,Open Cluster,6.4,45',Pirate Moon Cluster
IC418,05h27m28,-12°41'50,LEPUS,Planetary Nebula,9.6,4'x6',Spirograph Nebula
CR69,05h35m06,+09-56'00,ORION,Open Cluster,3.4,60',Orion's Head
NGC1981,05h35m10,-04°25'30,ORION,Open Cluster,4.2,28',Coal Car Cluster
CR72,05h25m26,-05°54'36,ORION,Open Cluster,2.5,14'x14',Lost Jewel of Orion
NGC1977,05h35m16,-04°47'07,ORION,Reflection Nebula,7.0,40'x25',Running Man Nebula
NGC1999,05h36m27,-06°43'18,ORION,Reflection Nebula,10.0,2'x2',13th Pearl Nebula
NGC2024,05h41m54,-01°51'00,ORION,Emission Nebula,10.0,30'x30',Flame Nebula
NGC2163,06h07m50,+18°39'27,ORION,Reflection Nebula,11.0,3'x2',Cederblad 62
NGC2169,06h08m24,+13°57'00,ORION,Open Cluster,5.9,7',Shopping Cart Cluster
NGC2175,06h09m48,+20°29'00,ORION,Open Cluster & Nebula,6.8,18',Monkey Head Nebula
NGC2264,06h41m00,+09°53'00,MONOCEROS,Open Cluster & Nebula,3.9,20',Christmas Tree Clst./Cone Neb.
NGC2301,06h51m45,+00°27'36,MONOCEROS,Open Cluster,6.0,12',Hagrid's Dragon
NGC2353,07h14m00,-10°15'00,MONOCEROS,Open Cluster,7.1,18',Avery's Island
NGC2440,07h41m55,-18°12'30,PUPPIS,Planetary Nebula,9.4,74'x42',Albino Butterfly Nebula
NGC2451,07h45m24,-37°57'00,PUPPIS,Open Cluster,3.0,45',Stinging Scorpion
NGC2467,07h52m17,-26°26'16,PUPPIS,Emission Nebula,7.1,15',Skull & Crossbones Nebula
NGC2547,08h10m42,-49°16'00,VELA,Open Cluster,4.7,20',Golden Earring Cluster
NGC2539,08h10m37,-12°49'06,PUPPIS,Open Cluster,6.5,15',The Dish Cluster
NGC2546,08h12m24,-37°38'00,PUPPIS,Open Cluster,6.3,41',Heart & Dagger Cluster
NGC2683,08h52m41,+33°25'19,LYNX,Spiral Galaxy,10.6,9'x2',UFO Galaxy
NGC2655,08h55m38,+78°13'03,CAMELOPARDALIS,Lenticular Galaxy,10.1,5'x4',63 Mly Dist.
NGC2841,09h22m03,+50°58'35,URSA MAJOR,Spiral Galaxy,10.1,8'x4',Tiger's Eye Galaxy
IC2488,09h27m38,-57°00'00,VELA,Open Cluster,7.4,15',3700 ly Dist.
NGC2903,09h32m10,+21°30'03,LEO,Spiral Galaxy,9.7,13'x6',31 Mly Dist.
NGC3184,10h18m17,+41°25'28,URSA MAJOR,Spiral Galaxy,10.4,7'x7',Little Pinwheel Galaxy
NGC3228,10h21m22,-51°43'42,VELA,Open Cluster,6.0,11',1870 ly Dist.
NGC3293,10h35m24,-58°14'00,CARINA,Open Cluster,4.7,8',9000 ly Dist.
NGC3344,10h43m31,+24°55'20,LEO MINOR,Spiral Galaxy,10.5,7'x7',Sliced Onion Galaxy
NGC3521,11h05m49,-00°02'09,LEO,Spiral Galaxy,11.0,11'x5',Bubble Galaxy
NGC3621,11h18m17,-32°48'51,HYDRA,Spiral Galaxy,10.0,9'x5',Frame Galaxy
NGC3628,11h20m17,+13°35'23,LEO,Spiral Galaxy,10.2,15'x4',Hamburger Galaxy
NGC4214,12h15m39,+36°19'37,CANES VENATICI,Dwarf Irregular Galaxy,10.2,8'x7',Star Formation Laboratory
NGC4216,12h15m54,+13°08'58,VIRGO,Spiral Galaxy,11.0,8'x2',Silver Streak Galaxy
NGC4361,12h24m14,-18°47'02,CORVUS,Planetary Nebula,10.9,1.9'-1.9',3900 ly Dist.
MEL111,12h22m30,+25°51'00,COMA BERENICES,Open Cluster,1.8,450',Coma Berenices Cluster
NGC4490,12h30m36,+41°38'38,CANES VENATICI,Spiral Galaxy,9.8,6'x3',Cocoon Galaxy
IC3568,12h33m06,+82°34'00,CAMELOPARDALIS,Planetary Nebula,12.3,18'x18',Lemon Slice Nebula
NGC4526,12h34m03,+07°41'57,VIRGO,Lenticular Galaxy,10.7,7'x2',Hairy Eyebrow Galaxy
NGC4605,12h39m59,+61°36'33,URSA MAJOR,Spiral Galaxy,10.9,6'x2',Faberge Egg Galaxy
NGC4656,12h43m58,+32°10'05,CANES VENATICI,Spiral Galaxy,11.0,13',Hockey Stick Galaxy
NGC4699,12h49m02,-08°39'54,VIRGO,Spiral Galaxy,9.6,4'x3',Vinyl LP Galaxy
NGC4725,12h50m27,+25°30'03,COMA BERENICES,Spiral Galaxy,10.1,11'x8',One Armed Galaxy
NGC5102,13h21m58,-36°37'49,CENTAURUS,Spiral Galaxy,10.4,9'x3',Iota's Ghost
NGC5281,13h46m35,-62°55'00,CENTAURUS,Open Cluster,5.9,7',4200 ly Dist.
NGC5363,13h56m07,+05°15'14,VIRGO,Spiral Galaxy,10.1,4'x3',52 Mly Dist.
NGC5662,14h35m37,-56°37'06,CENTAURUS,Open Cluster,5.5,12',2170 ly Dist.
NGC5746,14h44m56,+01°57'18,VIRGO,Spiral Galaxy,11.0,7'x1',Blade & Pearl Galaxy
NGC5866,15h06m30,+55°45'48,DRACO,Spiral Galaxy,10.7,5'x2',Spindle Galaxy
NGC5897,15h17m24,-21°00'36,LIBRA,Globular Cluster,8.5,6',Ghost Globular
NGC5986,15h46m93,-37°47'11,LUPUS,Globular Cluster,8.0,5',34000 ly Dist.
NGC6210,16h44m30,+23°47'59,HERCULES,Planetary Nebula,8.8,21'',Turtle Nebula
NGC6242,16h55m36,-39°28'00,SCORPIUS,Open Cluster,6.4,9',3900 ly Dist.
NGC6281,17h04m42,-37°59'00,SCORPIUS,Open Cluster,5.4,8',Moth Wing Cluster
NGC6369,17h29m20,-23°45'34,OPHIUCHUS,Planetary Nebula,12.9,38'',Little Ghost Nebula
NGC6400,17h40m13,-36°56'52,SCORPIUS,Open Cluster,8.8,12',Phantom Cluster
IC4665,17h46m18,+05°43'00,OPHIUCHUS,Open Cluster,4.2,45',1400 ly Dist.
NGC6445,17h49m15,-20°00'31,SAGITTARIUS,Planetary Nebula,11.2,44'',Box Nebula
NGC6503,17h49m24,+70°09'00,DRACOD,Dwarf Spiral Galaxy,10.2,7'x3',Lost in Space Galaxy
NGC6441,17h50m13,-37°03'05,SCORPIUS,Globular Cluster,7.2,9.6',Silver Nugget Cluster
BARNRD,17h57m48,+04°41'36,OPHIUCHUS,High Proper Motion Star,9.5,-,Barnard's Star
NGC6520,18h03m24,-27°53'00,SAGITTARIUS,Open Cluster,9.0,5',Dead Man's Chest
NGC6544,18h07m21,-24°59'50,SAGITTARIUS,Globular Cluster,9.0,1',Starfish Cluster
NGC6572,18h12m06,+06°51'13,OPHIUCHUS,Planetary Nebula,8.1,15'',Emerald Eye Nebula
NGC6624,18h23m41,-30°21'39,SAGITTARIUS,Globular Cluster,7.6,9',25800 ly Dist.
NGC6633,18h27m42,+06°34'00,OPHIUCHUS,Open Cluster,4.6,27',1040 ly Dist.
IC4756,18h38m31,+05°29'24,SERPENS,Open Cluster,4.6,40',Tweedledee Cluster
NGC6709,18h51m18,+10°19'00,AQUILA,Open Cluster,6.7,13',Flying Unicorn Cluster
NGC6712,18h53m04,-08°42'22,SCUTUM,Globular Cluster,8.7,7',22500 ly Dist.
NGC6723,18h59m33,-36°37'56,SAGITTARIUS,Globular Cluster,6.8,11',28400 ly Dist.
CR399,19h26m11,+20°06'00,VULPECULA,Asterism,3.6,60',Coathanger
NGC6819,19h41m18,+40°11'00,CYGNUS,Open Cluster,7.3,5',Foxhead Cluster
NGC6818,19h43m58,-14°09'12,SAGITTARIUS,Planetary Nebula,9.3,46'',Little Gem Nebula
NGC6866,20h03m42,+44°00'00,CYGNUS,Open Cluster,7.6,7',Kite Cluster
NGC6940,20h34m26,+28°17'00,VULPECULA,Open Cluster,6.3,25',Mothra Cluster
NCLSK,20h40m00,+41°00'00,CYGNUS,Dark Nebula,-,480'-300',N.Coalsack/Cygnus Rift
NGC7008,21h00m33,+54°32'36,CYGNUS,Planetary Nebula,12.0,1',Coat Button Nebula
NGC7027,21h07m02,+42°14'11,CYGNUS,Planetary Nebula,10.0,16''x12'',Pink Pillow Nebula
TR37,21h38m59,+57°30'00,CEPHEUS,Open Cluster,5.1,50',Elephant's Trunk Nebula
NGC7380,22h47m00,+58°06'00,CEPHEUS,Open Cluster,7.2,25',Wizard Nebula
NGC7789,23h57m24,+56°42'30,CASSIOPEIA,Open Cluster,6.7,25',Caroline's Rose
NGC7793,23h57m50,-32°35'28,SCULPTOR,Spiral Galaxy,10.0,9'x6',Bond's Galaxy
NGC134,00h30m22,-33°14'39,SCULPTOR,Spiral Galaxy,10.4,8'x2',Giant Squid Galaxy
NGC1245,03h14m48,+47°15'11,PERSEUS,Open Cluster,8.4,10',Patrick Starfish Cluster
NGC1300,03h19m41,-19°24'41,ERIDANUS,Spiral Galaxy,11.4,6'x4',61 Mly Dist.
NGC1491,04h03m16,+51°18'54,PERSEUS,Emission Nebula,10.0,9'x6',Fossil Footprint Nebula
NGC1514,04h09m17,+30°46'33,TAURUS,Planetary Nebula,9.4,2'x2',Crystal Ball Nebula
NGC2022,05h42m06,+09°05'11,ORION,Planetary Nebula,12.8,39'',Kissing Crescents Nebula
NGC3114,10h02m42,-60°06'00,CARINA,Open Cluster,4.2,35',3000 ly Dist.
NGC3918,11h50m18,-57°10'57,CENTAURUS,Planetary Nebula,8.5,23'',Blue Planetary
IC4406,14h22m26,-44°09'04,LUPUS,Planetary Nebula,10.2,2',Retina Nebula
NGC5617,14h29m44,-60°42'42,CENTAURUS,Open Cluster,6.3,10',5770 ly Dist.
NGC5846,15h06m28,+01°36'19,VIRGO,Elliptical Galaxy,10.0,4'x4',79 Mly Dist.
NGC5907,15h15m53,+56°19'40,DRACO,Spiral Galaxy,10.3,13'x1',Knife Edge Galaxy
NGC5927,15h28m01,-50°40'23,LUPUS,Globular Cluster,8.0,6',25100 ly Dist.
IC4603,16h25m24,-24°28'00,OPHIUCHUS,Reflection Nebula,7.9,20'x5',
NGC6356,17h23m35,-17°48'47,OPHIUCHUS,Globular Cluster,8.2,10',49600 ly Dist.
NGC6388,17h36m17,-44°44'08,SCORPIUS,Globular Cluster,6.7,6',32300 ly Dist.
NGC6664,18h36m30,-08°11'15,SCUTUM,Open Cluster,7.8,12',Santa's Sleigh
NGC6781,19h18m28,+06°32'19,AQUILA,Planetary Nebula,11.4,2',Snowball Nebula
NGC6905,20h22m23,+20°06'16,DELPHINUS,Planetary Nebula,11.1,1',Blue Flash Nebula
NGC6939,20h31m30,+60°39'42,CEPHEUS,Open Cluster,7.8,10',Ghost Bush Cluster
